dediac	original_gold	max_gold	max_gold_alt
الشرطة	الشُّرْطَةِ	الشُّرْطَةِ	
بالعصي	بِالْعِصِيِّ	بِالْعِصِيِّ	
ويشعلون	وَيُشْعِلُونَ	وَيُشْعِلُونَ	
النيران	النِّيرَانَ	النِّيرَانَ	
في	فِي	فِي	
المتاجر	الْمَتَاجِرِ	الْمَتَاجِرِ	
والسيارات	وَالسَّيَّارَاتِ	وَالسَّيَّارَاتِ	
.	.	.	
			
ومن	وَمِنْ	وَمِنَ	
المطالب	الْمَطَالِبِ	الْمَطَالِبِ	
الرئيسية	الرَّئِيسِيَّةِ	الرَّئِيسِيَّةِ	
للمتظاهرين	لِلْمُتَظَاهِرِينَ	لِلْمُتَظَاهِرِينَ	
فرض	فَرْضُ	فَرْضُ	
التعليم	التَّعْلِيمِ	التَّعْلِيمِ	
الديني	الدِّينِيِّ	الدِّينِيِّ	
الإلزامي	الْإِلْزَامِيِّ	الْإِلْزَامِيِّ	
والتوقف	وَالتَّوَقُّفُ	وَالتَّوَقُّفُ	
عن	عَنْ	عَنِ	
الممارسات	الْمُمَارَسَاتِ	الْمُمَارَسَاتِ	
"	"	"	
المناهضة	الْمُنَاهِضَةِ	اَلْمُنَاهِضَةِ	
للإسلام	لِلْإِسْلَامِ	لِلْإِسْلَامِ	
"	"	"	
مثل	مِثْلِ	مِثْلِ	
السياسات	السِّيَاسَاتِ	السِّيَاسَاتِ	
التي	الَّتِي	الَّتِي	
تقضي	تَقْضِي	تَقْضِي	
بالمساواة	بِالْمُسَاوَاةِ	بِالْمُسَاوَاةِ	
بين	بَيْنَ	بَيْنَ	
الجنسين	الْجِنْسَيْنِ	الْجِنْسَيْنِ	
.	.	.	
			
ناشط	نَاشِطٌ	نَاشِطٌ	
حقوقي	حُقُوقِيٌّ	حُقُوقِيٌّ	
مغربي	مَغْرِبِيٌّ	مَغْرِبِيٌّ	
يصف	يَصِفُ	يَصِفُ	
رسائل	رَسَائِلَ	رَسَائِلَ	
النبي	النَّبِيِّ	النَّبِيِّ	
محمد	مُحَمَّدٍ	مُحَمَّدٍ	
إلى	إِلَى	إِلَى	
الملوك	الْمُلُوكِ	الْمُلُوكِ	
بالإرهابية	بِالْإِرْهَابِيَّةِ	بِالْإِرْهَابِيَّةِ	
			
أثار	أَثَارَ	أَثَارَ	
الباحث	الْبَاحِثُ	الْبَاحِثُ	
الأمازيغي	الْأَمَازِيغِيُّ	الْأَمَازِيغِيُّ	
والناشط	وَالنَّاشِطُ	وَالنَّاشِطُ	
الحقوقي	الْحُقُوقِيُّ	الْحُقُوقِيُّ	
المغربي	الْمَغْرِبِيُّ	الْمَغْرِبِيُّ	
أحمد	أَحْمَدُ	أَحْمَدُ	
عصيد	عَصِيدٍ	عَصِيدٍ	
جدلا	جَدَلًا	جَدَلًا	
واسعا	وَاسِعًا	وَاسِعًا	
بكلمته	بِكَلِمَتِهِ	بِكَلِمَتِهِ	
التي	الَّتِي	الَّتِي	
ألقاها	أَلْقَاهَا	أَلْقَاهَا	
في	فِي	فِي	
مؤتمر	مُؤْتَمَرِ	مُؤْتَمَرِ	
حقوق	حُقُوقِ	حُقُوقِ	
الإنسان	الْإِنْسَانِ	الْإِنْسَانِ	
قال	قَالَ	قَالَ	
فيها	فِيهَا	فِيهَا	
إن	إِنَّ	إِنَّ	
تدريس	تَدْرِيسَ	تَدْرِيسَ	
رسائل	رَسَائِلِ	رَسَائِلِ	
النبي	النَّبِيِّ	النَّبِيِّ	
محمد	مُحَمَّدٍ	مُحَمَّدٍ	
إلى	إِلَى	إِلَى	
الملوك	الْمُلُوكِ	الْمُلُوكِ	
في	فِي	فِي	
المدارس	الْمَدَارِسِ	الْمَدَارِسِ	
غير	غَيْرُ	غَيْرُ	
مقبول	مَقْبُولٍ	مَقْبُولٍ	
لأنها	لِأَنَّهَا	لِأَنَّهَا	
تعبر	تُعَبِّرُ	تُعَبِّرُ	
عن	عَنْ	عَنْ	
عصرها	عَصْرِهَا	عَصْرِهَا	
عصر	عَصْرِ	عَصْرِ	
نشر	نَشْرِ	نَشْرِ	
الدين	الدِّينِ	الدِّينِ	
بالسيف	بِالسَّيْفِ	بِالسَّيْفِ	
،	،	،	
وفي	وَفِي	وَفِي	
عصرنا	عَصْرِنَا	عَصْرِنَا	
توحي	تُوحِي	تُوحِي	
مثل	مِثْلُ	مِثْلُ	
هذه	هَذِهِ	هَٰذِهِ	
الرسائل	الرَّسَائِلِ	الرَّسَائِلِ	
بالإرهاب	بِالْإِرْهَابِ	بِالْإِرْهَابِ	
،	،	،	
ويجب	وَيَجِبُ	وَيَجِبُ	
إزالتها	إِزَالَتُهَا	إِزَالَتُهَا	
من	مِنْ	مِنَ	
المناهج	الْمَنَاهِجِ	الْمَنَاهِجِ	
المدرسية	الْمَدْرَسِيَّةِ	الْمَدْرَسِيَّةِ	
.	.	.	
ومع	وَمَعَ	وَمَعَ	
انتشار	انْتِشَارِ	انْتِشَارِ	
الخبر	الْخَبَرِ	الْخَبَرِ	
أثار	أَثَارَ	أَثَارَ	
نقاشات	نِقَاشَاتٍ	نِقَاشَاتٍ	
متعاظمة	مُتَعَاظِمَةً	مُتَعَاظِمَةً	
في	فِي	فِي	
المجتمع	الْمُجْتَمَعِ	الْمُجْتَمَعِ	
المغربي	الْمَغْرِبِيِّ	الْمَغْرِبِيِّ	
بينها	بَيْنَهَا	بَيْنَهَا	
إدانات	إِدَانَاتٌ	إِدَانَاتٌ	
واتهامات	وَاتِّهَامَاتٌ	وَاتِّهَامَاتٌ	
بازدرائه	بِازْدِرَائِهِ	بِازْدِرَائِهِ	
للإسلام	لِلْإِسْلَامِ	لِلْإِسْلَامِ	
من	مِنْ	مِنْ	
جهة	جِهَةٍ	جِهَةٍ	
ودعوات	وَدَعَوَاتٌ	وَدَعَوَاتٌ	
إلى	إِلَى	إِلَى	
احترام	احْتِرَامِ	احْتِرَامِ	
حرية	حُرِّيَّةِ	حُرِّيَّةِ	
التعبير	التَّعْبِيرِ	التَّعْبِيرِ	
من	مِنْ	مِنْ	
جهة	جِهَةٍ	جِهَةٍ	
أخرى	أُخْرَى	أُخْرَى	
.	.	.	
			
تحدث	تَحَدَّثَ	تَحَدَّثَ	
أحمد	أَحْمَدُ	أَحْمَدُ	
عصيد	عَصِيدٍ	عَصِيدٍ	
في	فِي	فِي	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
العاشر	الْعَاشِرِ	الْعَاشِرِ	
للجمعية	لِلْجَمْعِيَّةِ	لِلْجَمْعِيَّةِ	
المغربية	الْمَغْرِبِيَّةِ	الْمَغْرِبِيَّةِ	
لحقوق	لِحُقُوقِ	لِحُقُوقِ	
الإنسان	الْإِنْسَانِ	الْإِنْسَانِ	
منذ	مُنْذُ	مُنْذُ	
عشرة	عَشَرَةِ	عَشَرَةِ	
أيام	أَيَّامٍ	أَيَّامٍ	
في	فِي	فِي	
21	21	21	
أبريل	أَبْرِيلَ	أَبْرِيلَ	
الماضي	الْمَاضِيَ	الْمَاضِيَ	
،	،	،	
وقال	وَقَالَ	وَقَالَ	
:	:	:	
"	"	"	
الرسالة	الرِّسَالَةُ	اَلرِّسَالَةُ	
التي	الَّتِي	الَّتِي	
تدرس	تُدَرَّسُ	تُدَرَّسُ	
في	فِي	فِي	
مقرراتنا	مُقَرَّرَاتِنَا	مُقَرَّرَاتِنَا	
لتلامذتنا	لِتَلَامِذَتِنَا	لِتَلَامِذَتِنَا	
وهم	وَهُمْ	وَهُمْ	
في	فِي	فِي	
السادسة	السَّادِسَةَ	السَّادِسَةَ	
عشرة	عَشْرَةَ	عَشْرَةَ	
هي	هِيَ	هِيَ	
في	فِي	فِي	
الحقيقة	الْحَقِيقَةِ	الْحَقِيقَةِ	
رسالة	رِسَالَةٌ	رِسَالَةٌ	
إرهابية	إِرْهَابِيَّةٌ	إِرْهَابِيَّةٌ	
لأنها	لِأَنَّهَا	لِأَنَّهَا	
ترتبط	تَرْتَبِطُ	تَرْتَبِطُ	
بزمن	بِزَمَنٍ	بِزَمَنٍ	
كان	كَانَ	كَانَ	
فيه	فِيهِ	فِيهِ	
الدين	الدِّينُ	الدِّينُ	
ينشر	يُنْشَرُ	يُنْشَرُ	
بالسيف	بِالسَّيْفِ	بِالسَّيْفِ	
وبالعنف	وَبِالْعُنْفِ	وَبِالْعُنْفِ	
.	.	.	
اليوم	الْيَوْمَ	اَلْيَوْمَ	
المعتقد	الْمُعْتَقَدُ	الْمُعْتَقَدُ	
اختيار	اخْتِيَارٌ	اخْتِيَارٌ	
شخصي	شَخْصِيٌّ	شَخْصِيٌّ	
حر	حُرٌّ	حُرٌّ	
للأفراد	لِلْأَفْرَادِ	لِلْأَفْرَادِ	
،	،	،	
لا	لَا	لَا	
يمكن	يُمْكِنُ	يُمْكِنُ	
أن	أَنْ	أَنْ	
تدرس	تُدَرَّسَ	تُدَرَّسَ	
رسالة	رِسَالَةٌ	رِسَالَةٌ	
تقول	تَقُولُ	تَقُولُ	
إما	إِمَّا	إِمَّا	
أن	أَنْ	أَنْ	
تسلم	تُسْلِمَ	تُسْلِمَ	
وإما	وَإِمَّا	وَإِمَّا	
أنك	أَنَّكَ	أَنَّكَ	
ستموت	سَتَمُوتُ	سَتَمُوتُ	
"	"	"	
بالإشارة	بِالْإِشَارَةِ	بِالْإِشَارَةِ	
إلى	إِلَى	إِلَى	
عبارة	عِبَارَةِ	عِبَارَةِ	
"	"	"	
أسلم	أَسْلِمْ	أَسْلِمْ	
تسلم	تَسْلَمْ	تَسْلَمْ	
"	"	"	
في	فِي	فِي	
الرسالة	الرِّسَالَةِ	الرِّسَالَةِ	
إلى	إِلَى	إِلَى	
هرقل	هِرَقْلَ	هِرَقْلَ	
.	.	.	
			
وحسب	وَحَسَبَ	وَحَسَبَ	
رأي	رَأْيِ	رَأْيِ	
عصيد	عَصِيدٍ	عَصِيدٍ	
،	،	،	
وجود	وُجُودُ	وُجُودُ	
هذه	هَذِهِ	هَٰذِهِ	
الرسائل	الرَّسَائِلِ	الرَّسَائِلِ	
في	فِي	فِي	
المناهج	الْمَنَاهِجِ	الْمَنَاهِجِ	
يعود	يَعُودُ	يَعُودُ	
إلى	إِلَى	إِلَى	
سيطرة	سَيْطَرَةِ	سَيْطَرَةِ	
أصحاب	أَصْحَابِ	أَصْحَابِ	
"	"	"	
أيديولوجية	أَيْدِيُولُوجِيَّةٍ	أَيْدِيُولُوجِيَّةٍ	
معينة	مُعَيَّنَةٍ	مُعَيَّنَةٍ	
"	"	"	
على	عَلَى	عَلَى	
اللجان	اللِّجَانِ	اللِّجَانِ	
المسؤولة	الْمَسْؤُولَةِ	الْمَسْؤُولَةِ	
عن	عَنْ	عَنْ	
وضع	وَضْعِ	وَضْعِ	
المناهج	الْمَنَاهِجِ	الْمَنَاهِجِ	
المدرسية	الْمَدْرَسِيَّةِ	الْمَدْرَسِيَّةِ	
.	.	.	
			
والسبت	وَالسَّبْتَ	وَالسَّبْتَ	
الماضي	الْمَاضِيَ	الْمَاضِيَ	
قال	قَالَ	قَالَ	
رئيس	رَئِيسُ	رَئِيسُ	
الوزراء	الْوُزَرَاءِ	الْوُزَرَاءِ	
المغربي	الْمَغْرِبِيُّ	الْمَغْرِبِيُّ	
عبد	عَبْدُ	عَبْدُ	
الإله	الْإِلَهِ	الْإِلَٰهِ	
بن	بْنُ	بْنُ	
كيران	كِيرَانَ	كِيرَانَ	
خلال	خِلَالَ	خِلَالَ	
مشاركته	مُشَارَكَتِهِ	مُشَارَكَتِهِ	
في	فِي	فِي	
اجتماع	اجْتِمَاعِ	اجْتِمَاعِ	
حزب	حِزْبِ	حِزْبِ	
"	"	"	
العدالة	الْعَدَالَةِ	اَلْعَدَالَةِ	
والتنمية	وَالتَّنْمِيَةِ	وَالتَّنْمِيَةِ	
"	"	"	
:	:	:	
"	"	"	
ليس	لَيْسَ	لَيْسَ	
من	مِنْ	مِنَ	
المعقول	الْمَعْقُولِ	الْمَعْقُولِ	
التعريض	التَّعْرِيضُ	التَّعْرِيضُ	
لرسول	لِرَسُولِ	لِرَسُولِ	
الله	اللَّهِ	الْلَّٰهِ	
،	،	،	
سيد	سَيِّدِ	سَيِّدِ	
الخلق	الْخَلْقِ	الْخَلْقِ	
،	،	،	
ليس	لَيْسَ	لَيْسَ	
من	مِنْ	مِنَ	
المعقول	الْمَعْقُولِ	الْمَعْقُولِ	
ولن	وَلَنْ	وَلَنْ	
أقبل	أَقْبَلَ	أَقْبَلَ	
هذا	هَذَا	هَٰذَا	
"	"	"	
.	.	.	
			
من	مِنْ	مِنْ	
جهته	جِهَتِهِ	جِهَتِهِ	
أكد	أَكَّدَ	أَكَّدَ	
إدريس	إِدْرِيسُ	إِدْرِيسُ	
اليزمي	الْيَزْمِي	الْيَزْمِي	
رئيس	رَئِيسُ	رَئِيسُ	
المجلس	الْمَجْلِسِ	الْمَجْلِسِ	
الوطني	الْوَطَنِيِّ	الْوَطَنِيِّ	
لحقوق	لِحُقُوقِ	لِحُقُوقِ	
الإنسان	الْإِنْسَانِ	الْإِنْسَانِ	
على	عَلَى	عَلَى	
أهمية	أَهَمِّيَّةِ	أَهَمِّيَّةِ	
"	"	"	
حرية	حُرِّيَّةِ	حُرِّيَّةِ	
الفكر	الْفِكْرِ	الْفِكْرِ	
والتعبير	وَالتَّعْبِيرِ	وَالتَّعْبِيرِ	
"	"	"	
الأمس	الْأَمْسَ	اَلْأَمْسَ	
جوابا	جَوَابًا	جَوَابًا	
على	عَلَى	عَلَى	
سؤال	سُؤَالِ	سُؤَالِ	
وكالة	وِكَالَةِ	وِكَالَةِ	
فرانس	فِرَانْسْ	فِرَانْسْ	فْرَانْسْ
برس	بِرِسْ	بِرِسْ	بْرِسْ
وتأسف	وَتَأَسَّفَ	وَتَأَسَّفَ	
لما	لِمَا	لِمَا	
أثارته	أَثَارَتْهُ	أَثَارَتْهُ	
كلمة	كَلِمَةُ	كَلِمَةُ	
أحمد	أَحْمَدَ	أَحْمَدَ	
عصيد	عَصِيدٍ	عَصِيدٍ	
من	مِنْ	مِنْ	
جدال	جِدَالٍ	جِدَالٍ	
.	.	.	
ودعا	وَدَعَا	وَدَعَا	
محمد	مُحَمَّدُ	مُحَمَّدُ	
الفزازي	الْفَزَازِي	الْفَزَازِي	
،	،	،	
وهو	وَهُوَ	وَهُوَ	
فقيه	فَقِيهٌ	فَقِيهٌ	
مغربي	مَغْرِبِيٌّ	مَغْرِبِيٌّ	
محسوب	مَحْسُوبٌ	مَحْسُوبٌ	
على	عَلَى	عَلَى	
التيار	التَّيَّارِ	التَّيَّارِ	
السلفي	السَّلَفِيِّ	السَّلَفِيِّ	
،	،	،	
إلى	إِلَى	إِلَى	
محاكمة	مُحَاكَمَةِ	مُحَاكَمَةِ	
أحمد	أَحْمَدَ	أَحْمَدَ	
عصيد	عَصِيدٍ	عَصِيدٍ	
بتهمة	بِتُهْمَةِ	بِتُهْمَةِ	
ازدراء	ازْدِرَاءِ	ازْدِرَاءِ	
الإسلام	الْإِسْلَامِ	الْإِسْلَامِ	
.	.	.	
			
وردا	وَرَدًّا	وَرَدًّا	
على	عَلَى	عَلَى	
هذه	هَذِهِ	هَٰذِهِ	
التهمة	التُّهْمَةِ	التُّهْمَةِ	
قال	قَالَ	قَالَ	
أحمد	أَحْمَدُ	أَحْمَدُ	
عصيد	عَصِيدٍ	عَصِيدٍ	
:	:	:	
"	"	"	
أنا	أَنَا	أَنَا	
لم	لَمْ	لَمْ	
أقل	أَقُلْ	أَقُلْ	
إن	إِنَّ	إِنَّ	
النبي	النَّبِيَّ	النَّبِيَّ	
إرهابي	إِرْهَابِيٌّ	إِرْهَابِيٌّ	
.	.	.	
هذا	هَذَا	هَٰذَا	
يتناقض	يَتَنَاقَضُ	يَتَنَاقَضُ	
مع	مَعَ	مَعَ	
مبادئي	مَبَادِئِي	مَبَادِئِي	
.	.	.	
منذ	مُنْذُ	مُنْذُ	
36	36	36	
سنة	سَنَةً	سَنَةً	
،	،	،	
وأنا	وَأَنَا	وَأَنَا	
أناقش	أُنَاقِشُ	أُنَاقِشُ	
ولم	وَلَمْ	وَلَمْ	
أمس	أَمَسَّ	أَمَسَّ	
أي	أَيَّ	أَيَّ	
دين	دِينٍ	دِينٍ	
أو	أَوْ	أَوْ	
أي	أَيَّ	أَيَّ	
نبي	نَبِيٍّ	نَبِيٍّ	
.	.	.	
هناك	هُنَاكَ	هُنَاكَ	
أناس	أُنَاسٌ	أُنَاسٌ	
لديهم	لَدَيْهِمْ	لَدَيْهِمُ	
احتقان	احْتِقَانٌ	احْتِقَانٌ	
إزاء	إِزَاءَ	إِزَاءَ	
فكري	فِكْرِي	فِكْرِي	
الذي	الَّذِي	الَّذِي	
ينتقد	يَنْتَقِدُ	يَنْتَقِدُ	
استعمالات	اسْتِعْمَالَاتِ	اسْتِعْمَالَاتِ	
الدين	الدِّينِ	الدِّينِ	
في	فِي	فِي	
قضايا	قَضَايَا	قَضَايَا	
السياسة	السِّيَاسَةِ	السِّيَاسَةِ	
والمجتمع	وَالْمُجْتَمَعِ	وَالْمُجْتَمَعِ	
،	،	،	
وليس	وَلَيْسَ	وَلَيْسَ	
الدين	الدِّينَ	الدِّينَ	
"	"	"	
.	.	.	
			
انتخاب	انْتِخَابُ	اِنْتِخَابُ	
شوقي	شَوْقِي	شَوْقِي	
عبد	عَبْدِ	عَبْدِ	
الكريم	الْكَرِيمِ	الْكَرِيمِ	
مفتيا	مُفْتِيًا	مُفْتِيًا	
للديار	لِلدِّيَارِ	لِلدِّيَارِ	
المصرية	الْمِصْرِيَّةِ	الْمِصْرِيَّةِ	
			
فاز	فَازَ	فَازَ	
الدكتور	الدُّكْتُورُ	الدُّكْتُورُ	
شوقي	شَوْقِي	شَوْقِي	
إبراهيم	إِبْرَاهِيمَ	إِبْرَاهِيمَ	
عبد	عَبْدِ	عَبْدِ	
الكريم	الْكَرِيمِ	الْكَرِيمِ	
،	،	،	
أستاذ	أُسْتَاذُ	أُسْتَاذُ	
الفقه	الْفِقْهِ	الْفِقْهِ	
بجامعة	بِجَامِعَةِ	بِجَامِعَةِ	
الأزهر	الْأَزْهَرِ	الْأَزْهَرِ	
فرع	فَرْعِ	فَرْعِ	
طنطا	طَنْطَا	طَنْطَا	
بمنصب	بِمَنْصِبِ	بِمَنْصِبِ	
مفتي	مُفْتِي	مُفْتِي	
الديار	الدِّيَارِ	الدِّيَارِ	
المصرية	الْمِصْرِيَّةِ	الْمِصْرِيَّةِ	
بأغلبية	بِأَغْلَبِيَّةِ	بِأَغْلَبِيَّةِ	
أصوات	أَصْوَاتِ	أَصْوَاتِ	
أعضاء	أَعْضَاءِ	أَعْضَاءِ	
هيئة	هَيْئَةِ	هَيْئَةِ	
كبار	كِبَارِ	كِبَارِ	
العلماء	الْعُلَمَاءِ	الْعُلَمَاءِ	
،	،	،	
وذلك	وَذَلِكَ	وَذَٰلِكَ	
في	فِي	فِي	
الانتخابات	الِانْتِخَابَاتِ	الِانْتِخَابَاتِ	
التي	الَّتِي	الَّتِي	
أجريت	أُجْرِيَتْ	أُجْرِيَتْ	
لأول	لِأَوَّلِ	لِأَوَّلِ	
مرة	مَرَّةٍ	مَرَّةٍ	
في	فِي	فِي	
تاريخ	تَارِيخِ	تَارِيخِ	
مصر	مِصْرَ	مِصْرَ	
بالاقتراع	بِالِاقْتِرَاعِ	بِالِاقْتِرَاعِ	
السري	السِّرِّيِّ	السِّرِّيِّ	
المباشر	الْمُبَاشِرِ	الْمُبَاشِرِ	
لاختيار	لِاخْتِيَارِ	لِاخْتِيَارِ	
المفتي	الْمُفْتِي	الْمُفْتِي	
الجديد	الْجَدِيدِ	الْجَدِيدِ	
خلفا	خَلَفًا	خَلَفًا	
للمفتي	لِلْمُفْتِي	لِلْمُفْتِي	
الحالي	الْحَالِيِّ	الْحَالِيِّ	
علي	عَلِي	عَلِي	
جمعة	جُمْعَةَ	جُمْعَةَ	
،	،	،	
والذي	وَالَّذِي	وَالَّذِي	
من	مِنْ	مِنَ	
المقرر	الْمُقَرَّرِ	الْمُقَرَّرِ	
أن	أَنْ	أَنْ	
تنتهي	تَنْتَهِيَ	تَنْتَهِيَ	
فترته	فَتْرَتُهُ	فَتْرَتُهُ	
في	فِي	فِي	
